"filename", "language", "Dart", "comment", "blank", "total"
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/data/repositories/authentication_repository_test.dart", "Dart", 79, 15, 8, 102
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/data/repositories/authentication_repository_test.mocks.dart", "Dart", 68, 8, 7, 83
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/data/repositories/child_repository_test.dart", "Dart", 205, 36, 26, 267
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/data/repositories/grow_repository_test.dart", "Dart", 9, 63, 13, 85
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/data/repositories/parent_repository_test.dart", "Dart", 154, 28, 17, 199
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/repositories/database_repository.test.dart", "Dart", 0, 0, 1, 1
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/authentication/authenticate_user_test.dart", "Dart", 50, 6, 10, 66
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/authentication/get_authenticated_user_test.dart", "Dart", 45, 6, 10, 61
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/disable_child_acc_test.dart", "Dart", 9, 3, 4, 16
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/edit_child_test.dart", "Dart", 97, 6, 8, 111
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/enable_child_test.dart", "Dart", 9, 3, 4, 16
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/get_children_by_id_test.dart", "Dart", 115, 9, 8, 132
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/get_children_by_school_test.dart", "Dart", 114, 9, 6, 129
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/get_children_test.dart", "Dart", 14, 3, 4, 21
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/get_children_test.mocks.dart", "Dart", 49, 8, 7, 64
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/register_new_child_user_test.dart", "Dart", 88, 9, 12, 109
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/register_new_child_user_test.mocks.dart", "Dart", 112, 11, 9, 132
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/sign_up_new_child_user_test.dart", "Dart", 105, 13, 16, 134
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/child/sign_up_new_child_user_test.mocks.dart", "Dart", 112, 11, 9, 132
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/disable_parent_account_test.dart", "Dart", 9, 3, 4, 16
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/edit_parent_test.dart", "Dart", 80, 7, 8, 95
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/enable_parent_account_test.dart", "Dart", 9, 3, 4, 16
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/get_parent_by_id_test.dart", "Dart", 87, 7, 8, 102
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/get_parents_test.dart", "Dart", 85, 7, 7, 99
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/register_new_parent_user_test.dart", "Dart", 97, 9, 8, 114
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/sign_up_new_parent_test.dart", "Dart", 101, 9, 8, 118
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/domain/usecases/parent/sign_up_new_parent_test.mocks.dart", "Dart", 104, 11, 9, 124
"/Users/Projects/Flutter/grow_run_v1/test/features/grow/presentation/child/cubit/child_sign_up_cubit_test.dart", "Dart", 88, 0, 8, 96
"Total", "-", 2094, 303, 243, 2640
